sudoku.r3.c5 = 4
sudoku.r3.c5 publish row.3.constraint
sudoku.r3.c5 publish col.5.constraint
sudoku.r3.c5 publish box.2.constraint
sudoku.r1.c4 subscribe sudoku.r3.c5
sudoku.r1.c5 subscribe sudoku.r3.c5
sudoku.r1.c6 subscribe sudoku.r3.c5
sudoku.r2.c4 subscribe sudoku.r3.c5
sudoku.r2.c5 subscribe sudoku.r3.c5
sudoku.r2.c6 subscribe sudoku.r3.c5
sudoku.r3.c1 subscribe sudoku.r3.c5
sudoku.r3.c2 subscribe sudoku.r3.c5
sudoku.r3.c3 subscribe sudoku.r3.c5
sudoku.r3.c4 subscribe sudoku.r3.c5
sudoku.r3.c6 subscribe sudoku.r3.c5
sudoku.r3.c7 subscribe sudoku.r3.c5
sudoku.r3.c8 subscribe sudoku.r3.c5
sudoku.r3.c9 subscribe sudoku.r3.c5
sudoku.r4.c5 subscribe sudoku.r3.c5
sudoku.r5.c5 subscribe sudoku.r3.c5
sudoku.r6.c5 subscribe sudoku.r3.c5
sudoku.r7.c5 subscribe sudoku.r3.c5
sudoku.r8.c5 subscribe sudoku.r3.c5
sudoku.r9.c5 subscribe sudoku.r3.c5
sudoku.r3.c5 trigger solve
